Fecha,Audiencia,Campaña,Ventas,Alcance,Importe gastado (USD),Impresiones,Clics en el enlace,Clics (todos)
2/28/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,30358,76.57,34928,38,1028
2/28/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,32571,76.17,37293,50,542
2/29/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,,13725,32.75,14263,19,256
2/29/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,19299,67.92,22570,27,548
3/1/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,2,9412,41.31,11623,19,277
3/2/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,3,19086,47.42,23182,24,484
3/3/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,1,21572,53.56,25829,28,641
3/4/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,25125,51.31,30632,21,609
3/5/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,3,24354,49.52,29328,37,575
3/6/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,22752,48.98,27254,22,426
3/7/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,2,14254,48.91,18396,45,581
3/8/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,2,14095,55.82,14926,46,840
3/8/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,6,12216,48.51,16623,66,1088
3/9/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,2,19483,54.13,24685,68,1384
3/9/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,4,22070,68.57,25251,78,1419
3/10/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,8,26336,78.89,33341,64,1327
3/10/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,8,30419,79.92,34076,96,1676
3/11/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,4,30323,74.31,33362,74,1451
3/11/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,9,34787,94.37,44163,76,1509
3/12/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,3,26480,52.47,28004,41,956
3/12/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,5,36689,105.44,45005,95,1628
3/13/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,16458,47.1,17225,29,570
3/13/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,4,37119,94.73,43817,81,1249
3/14/2024,7. All donors,Donation TD - Gaza - Oct 23,,897,30.11,2476,1,29
3/14/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,34923,106.2,36518,69,1216
3/14/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,8,62709,157.85,71366,119,2239
3/15/2024,7. All donors,Donation TD - Gaza - Oct 23,,1014,45.49,3802,6,51
3/15/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,7,43619,139.72,46328,101,1605
3/15/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,4,73972,184.86,82647,143,2592
3/16/2024,7. All donors,Donation TD - Gaza - Oct 23,1,969,48.9,3352,8,28
3/16/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,3,39006,149.32,40892,78,1338
3/16/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,3,63028,198.17,73430,118,2143
3/17/2024,7. All donors,Donation TD - Gaza - Oct 23,,1002,53.21,3689,6,27
3/17/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,4,32832,119.08,35555,74,1078
3/17/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,3,48404,138.19,53892,98,1531
3/18/2024,7. All donors,Donation TD - Gaza - Oct 23,,574,14.87,1047,1,5
3/18/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,3,44932,142.99,50402,96,1663
3/18/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,1,46996,101.52,51955,76,1473
3/19/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,33278,64.64,36210,39,985
3/19/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,3,38888,113.07,42981,58,1261
3/20/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,22051,48.07,23248,20,610
3/20/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,3,26744,96.32,30202,52,866
3/21/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,6785,27.79,6888,12,232
3/21/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,,17636,61.15,18740,40,878
3/21/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,23131,48.97,24517,38,749
3/21/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,3,28019,97.75,31216,55,888
3/22/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,3,10344,47.81,11027,29,300
3/22/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,1,16756,61.06,17828,38,675
3/22/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,2,20907,48.5,22241,36,535
3/22/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,2,25839,96.94,27445,41,732
3/23/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,3,9806,48,10274,25,253
3/23/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,1,17237,61.46,18105,41,727
3/23/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,18642,48.35,20285,28,522
3/23/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,4,23788,97.19,25958,57,753
3/24/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,,11024,52.34,11673,7,251
3/24/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,1,17091,52.77,17391,31,723
3/24/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,2,19831,52.57,21663,31,590
3/24/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,25546,104.69,27690,44,850
3/25/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,2,12048,51.23,12900,26,215
3/25/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,2,18415,50.98,19021,33,719
3/25/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,18175,65.73,19725,31,511
3/25/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,1,19525,45.57,20891,31,486
3/26/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,,10432,25.59,11341,18,216
3/26/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,,10771,50.08,11727,15,165
3/26/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,13527,49.85,14505,24,270
3/26/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,2,16005,50.5,16574,26,472
